"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Timm10",466.685383306192,-0.463985379899605,0.115964188528931,-4.00110918539175,6.30462562923425e-05,0.000476101269895331
"Timm13",1289.29412268717,-0.483632460278658,0.105874418412348,-4.5679822145049,4.92441805508588e-06,5.26743145047588e-05
"Timm17a",1652.6446573453,-0.399382033687924,0.0903675175057028,-4.41953087471635,9.89153896792118e-06,9.56724526967794e-05
"Timm17b",537.495451203798,-0.491278514407121,0.0966735348541348,-5.08183046320157,3.73814984519756e-07,5.6716518665108e-06
"Timm21",391.162342052839,-0.274130984865872,0.11330813595918,-2.41934069910593,0.015548669464561,0.0480049131143293
"Timm22",661.166434640874,-0.486405409572963,0.104331229291935,-4.66212669853554,3.12958415010835e-06,3.53840757411288e-05
"Timm29",1243.74179631394,-0.234541659734772,0.0722770220613429,-3.24503767650681,0.00117435084827796,0.00560019565766837
"Timm50",1048.12731010539,-0.431228223847272,0.0839963904708538,-5.13388993776948,2.83814108240099e-07,4.49677367646632e-06
"Timm8a1",35.9165897283779,-0.8534798084174,0.342489245063929,-2.49199010105585,0.0127029577682502,0.0406524282233545
"Timm8b",1612.2172026618,-0.60729667699972,0.0987655728893052,-6.14887008938193,7.803686095278e-10,2.61638045825797e-08
"Timm9",748.858265578467,-0.459376520721706,0.115735220207811,-3.96920245969084,7.21135915138188e-05,0.000532585887617983
"Timmdc1",477.539255488725,-0.344079513420516,0.0985813909776301,-3.49030897219328,0.00048246239806086,0.00265273747390711
"Timp2",1151.26527115494,0.557687669901095,0.206304753628577,2.70322258742101,0.00686707432880807,0.0246501913652068
"Tinag",2742.94632413877,-0.482598265214527,0.0911077871108458,-5.29700347817006,1.1771845384626e-07,2.08598620798399e-06
"Tinagl1",1643.19971330133,0.378992178690036,0.151920194047983,2.49467940101718,0.0126070979085309,0.0404163672386048
"Tjap1",346.777003262324,0.332951726091172,0.115683225947591,2.87813313783289,0.00400036268999143,0.0157131879271389
"Tjp1",1538.84888641716,0.441975768059306,0.0936058458541816,4.72166843882605,2.33917792287895e-06,2.74857580060195e-05
"Tjp2",881.817498392944,0.352046818490105,0.09063313790052,3.88430574782168,0.000102622701765511,0.000719688634961468
"Tkt",5602.95232233661,-0.367926849734515,0.0598963574634533,-6.14272495550352,8.11176759864343e-10,2.7086393145815e-08
"Tlcd1",981.522866554399,0.322745563261493,0.110179718074052,2.92926474039964,0.00339764903496814,0.0137357805534493
"Tlcd2",156.15530016613,-0.842033877199187,0.289373800875417,-2.90984835065185,0.00361604165167125,0.0144304448439511
"Tle1",213.125541790987,0.367997046088894,0.148906266705922,2.47133350549752,0.0134610216439485,0.0426647853800088
"Tle2",379.182389342706,1.38237706583712,0.113032470225273,12.2299111315718,2.15173912971941e-34,2.79897926225464e-30
"Tln1",5070.28640184641,0.413231778737921,0.110848826175838,3.72788592350466,0.000193092739562551,0.00122125500399092
"Tlr12",619.648986163387,-0.348652851424607,0.140325735747569,-2.48459663914961,0.0129698299667488,0.041369761850924
"Tlr4",87.1279660316392,-0.648190048414555,0.215940792439011,-3.00170264771824,0.00268474279571752,0.0112458615529521
"Tm2d1",248.089662150843,-0.343811955733434,0.128675810998045,-2.67192375215462,0.00754177829225581,0.0265574021255154
"Tm2d2",2353.08266590147,-0.450231998616458,0.0868901276969432,-5.18162431739983,2.19961907856576e-07,3.59584203290463e-06
"Tm2d3",908.169547146477,-0.602459028401597,0.0936963110904389,-6.42991192919092,1.27677899738031e-10,5.11395032965322e-09
"Tm4sf1",860.724752712698,-0.493226206578853,0.116776373885264,-4.22368147056407,2.40343675839849e-05,0.000207474441094683
"Tm4sf20",5.4955901590371,-3.23611870965147,1.09279068079892,-2.96133446826762,0.00306309098016547,0.012606150928871
"Tm4sf4",31.7282060701471,-1.51210544125503,0.398865702555511,-3.79101394671703,0.000150033528068807,0.000983221313323528
"Tm6sf2",82.4971921236749,1.23720325470991,0.340028155444232,3.63853179479669,0.00027419678056771,0.00164678124834208
"Tm9sf3",6658.893713654,-0.265623934562687,0.0888432004244417,-2.98980600984306,0.00279154673191043,0.0116487813183041
"Tma7",240.825145484944,-0.591226727932733,0.145135238790187,-4.07362631474658,4.6286728561645e-05,0.000364754488071709
"Tmbim4",4976.92503770676,-0.481018285651447,0.0695278359854592,-6.91835548789475,4.56916560657923e-12,2.76535309615835e-10
"Tmc4",681.354854817604,0.414517688820475,0.106761299454923,3.88265870626175,0.000103320537946631,0.000723397647516916
"Tmcc2",129.087778061475,0.442311500758639,0.175176576684494,2.52494659463106,0.0115715872778651,0.0377968531841074
"Tmco1",3131.74579675741,-0.42017302788145,0.0796199751846945,-5.27723133430743,1.31150280914659e-07,2.28949726873502e-06
"Tmco6",161.885142019574,0.384563710356769,0.147350297751081,2.60986042258572,0.00905791719067619,0.0308336296097832
"Tmed1",472.588870258156,-0.478827066298025,0.110314703282814,-4.34055526642224,1.42123116023487e-05,0.000132142149608562
"Tmed10",1154.59108581894,-0.206502007045805,0.0774940883710705,-2.66474529072459,0.00770466543447006,0.0269974887999672
"Tmed2",355.413082319958,-0.510168918222109,0.145605297011996,-3.50377993583624,0.000458704253479364,0.00254935496987754
"Tmed3",743.764213785649,-0.629141436981259,0.0923213218254613,-6.81469269006662,9.4465479745663e-12,5.29944322918326e-10
"Tmed4",2501.52330631231,-0.223546584783316,0.0668385827970795,-3.34457397850577,0.000824090484322052,0.00417420847781835
"Tmed6",314.181128283682,-0.800104627342618,0.144624288364805,-5.53229776539615,3.1606275605744e-08,6.71358076157108e-07
"Tmed7",2482.85548750903,-0.327590792933876,0.0762874949215435,-4.29416109771045,1.75355116299646e-05,0.000157829192155537
"Tmed9",1748.5500021465,-0.434857788454691,0.0674674225817754,-6.44544836328395,1.15259164607535e-10,4.70817957262841e-09
"Tmem106b",9178.62618191633,-0.226283771002137,0.0791576272154404,-2.85864772558516,0.0042545096099479,0.01654805711957
"Tmem106c",474.59121209016,-0.427260549715401,0.124974466361235,-3.41878274943312,0.000629019267575508,0.00332955472116657
"Tmem115",741.55516299734,-0.279137361844911,0.0912421413526222,-3.0593030556586,0.00221852601561247,0.00961088822868751
"Tmem116",1448.58915835371,-0.354018511799825,0.0943895098663113,-3.75061288379651,0.000176402866353573,0.00112862183673242
"Tmem120a",1599.91479597714,-0.570305523593023,0.114768252800981,-4.96919234783494,6.72323515937503e-07,9.42741884102485e-06
"Tmem123",1359.51620826795,-0.335143176273725,0.111136506676859,-3.01559934080157,0.00256471909643282,0.0108091156593643
"Tmem125",388.063568883282,-0.326838774134778,0.132549336023259,-2.46578959910765,0.0136711611779266,0.0432025244577805
"Tmem126a",740.530548391013,-0.37222377244177,0.11109463530315,-3.35051077332458,0.000806626716401135,0.00410089221908446
"Tmem126b",1064.51000339294,-0.427262949510349,0.104387075565198,-4.09306369775144,4.25710712455529e-05,0.00034036181391175
"Tmem128",502.540922656996,-0.554884716958185,0.102531491806325,-5.41184671345974,6.23780763509199e-08,1.22100819606283e-06
"Tmem131",1345.3664797695,0.473524482681289,0.129736752536308,3.64988697053112,0.000262355727817434,0.00158491742801123
"Tmem136",372.510465796623,0.332737622908999,0.125821018234429,2.64453131581756,0.00818041367448952,0.0282911701490434
"Tmem139",360.301963232956,-0.433723626556977,0.113518906468787,-3.82071709505264,0.000133064217823184,0.000889002903330058
"Tmem144",376.344861672126,-0.548553510407576,0.219902249266496,-2.49453342217883,0.0126122848268393,0.0404251232125057
"Tmem147",1725.78558456863,-0.395108660772211,0.0763603047404359,-5.17426773132016,2.28806541167584e-07,3.73301613548144e-06
"Tmem147os",89.519011228508,0.522598044797684,0.19601067023107,2.6661714088402,0.00767205649443329,0.0269061342163104
"Tmem14a",102.637866732966,-0.586315751862169,0.196207940653263,-2.9882366121884,0.00280592233339235,0.0117028359392716
"Tmem14c",1482.0711968299,-0.223458810580045,0.0918761242369512,-2.43217497947278,0.0150084547687238,0.0465290362340358
"Tmem160",242.277780599997,-0.518723022801645,0.130178847962387,-3.98469513996252,6.7566813336549e-05,0.000504666461500122
"Tmem165",594.01733601697,-0.315416744969054,0.123203294154494,-2.56013239851793,0.0104632292610853,0.0348079739180958
"Tmem167",609.325377700887,-0.640354895500395,0.0980407779193473,-6.53151585585315,6.5107327928915e-11,2.88894024896442e-09
"Tmem167b",1152.99569988615,-0.307697300763375,0.0846865961798506,-3.63336483745211,0.000279749020484879,0.00167532214585927
"Tmem168",939.862202390783,-0.283116002650734,0.0865296340548729,-3.27189645192762,0.00106828694431735,0.00517848635964433
"Tmem169",202.7148223577,-0.846011903947543,0.266480605660393,-3.1747597610376,0.00149960600538154,0.00689760102279713
"Tmem170b",410.078452836909,0.344227164770182,0.105735314152536,3.25555532254428,0.00113170846103697,0.0054426481699067
"Tmem176a",12986.4351618266,-0.735243466825668,0.136464365043245,-5.38780557541651,7.13231456139119e-08,1.37003689976221e-06
"Tmem176b",15650.6318736769,-0.678339113191151,0.145805904426254,-4.65234323575862,3.28184214809448e-06,3.67271824894162e-05
"Tmem177",351.204554844987,-0.413789654041757,0.112810042355088,-3.66802144031899,0.00024443469107799,0.001492538532836
"Tmem178",680.552970676627,-0.527645657143255,0.161458759382441,-3.26799028533002,0.00108314083388422,0.00524277106950958
"Tmem183a",1563.45391939441,-0.416695406519452,0.108215661347873,-3.85060167196994,0.000117828002453539,0.000805851506601643
"Tmem184b",601.244081992842,0.301945667980777,0.122448359842585,2.46590210247771,0.0136668681429038,0.0431996895868822
"Tmem184c",614.609590742795,-0.328450732228982,0.110102895497584,-2.98312529152504,0.00285321167745691,0.0118689650939743
"Tmem185a",624.091797794596,-0.298312056479364,0.0933296873653287,-3.19632546621156,0.00139190007567448,0.00647455751504756
"Tmem185b",519.151724226891,-0.30305070196143,0.0957259565713944,-3.16581534220981,0.00154648933932198,0.00707961832700736
"Tmem191c",72.1298649754657,0.985673823183382,0.227670184733232,4.32939352308396,1.49520541506543e-05,0.000137739628107482
"Tmem198b",157.739313538923,0.902616362043386,0.165878427470124,5.44143307728157,5.28536485985958e-08,1.05720141340229e-06
"Tmem199",447.162333676124,-0.288050060589108,0.103896321968191,-2.77247601389873,0.00556316191511171,0.0207149449098776
"Tmem201",553.884538843371,0.513200729504537,0.100113143822292,5.12620730815831,2.95637074296161e-07,4.65720336561091e-06
"Tmem205",2478.20240110611,-0.550970562502623,0.0827554954613378,-6.65781238371087,2.77933238323862e-11,1.34965692309363e-09
"Tmem208",796.031023073498,-0.604568546657502,0.0951097291604615,-6.35653735946953,2.06352273117224e-10,7.86335907420311e-09
"Tmem213",1062.2539260075,-0.401898357225914,0.129865696043412,-3.09472300592427,0.00196996778518557,0.00866638420088851
"Tmem216",179.113442245152,-0.585038141181849,0.140881595754667,-4.15269388487508,3.28584152573252e-05,0.000273604062704141
"Tmem218",129.461975346892,-0.541746039250845,0.175881595238595,-3.08017469659592,0.00206879210782742,0.00904313746124668
"Tmem219",520.192814673337,-0.376225182506687,0.107541829848517,-3.49840785707883,0.000468044785074844,0.00259164253343494
"Tmem222",631.52038338606,-0.387567623718235,0.0883104032568938,-4.38869724771618,1.14031682479655e-05,0.000108696558018534
"Tmem229a",5327.56221143173,-0.403130220751715,0.0885393638231071,-4.5531185604307,5.28564645334844e-06,5.59205089428162e-05
"Tmem234",1838.7728471533,-0.179476547302113,0.0711961380575124,-2.52087475808213,0.0117063509449901,0.0381226408024585
"Tmem237",531.152770519137,-0.47580414513378,0.185764094173449,-2.56133537135287,0.0104270646479748,0.0347189195459064
"Tmem238",86.6833499084447,-0.545689718817871,0.211179337538916,-2.58401094149333,0.00976586961746287,0.0328697087799374
"Tmem242",1156.74809190793,-0.576841266797651,0.0817108948677949,-7.05953921727277,1.67055626519216e-12,1.13171593570343e-10
"Tmem245",2028.66620051202,0.57619074522529,0.10774169786686,5.34788996862951,8.89855326818656e-08,1.6627466958103e-06
"Tmem246",416.479920071337,-0.348567884049981,0.113728897689289,-3.06490163126597,0.00217741600353788,0.00946267746838455
"Tmem256",1115.11297425696,-0.684867402021664,0.0840162138723679,-8.15160991498702,3.5911106975867e-16,5.37426039124293e-14
"Tmem258",655.054813841032,-0.572161152681281,0.0937774575674738,-6.10126535227941,1.05232039196766e-09,3.38345669776788e-08
"Tmem261",416.86035038363,-0.464821817831138,0.11155233295033,-4.16684981423119,3.08837819726069e-05,0.000258600619955775
"Tmem27",30105.8414350492,-0.85091193403753,0.122485860336342,-6.94702173541466,3.73078241352178e-12,2.30887744704494e-10
"Tmem29",213.763238113491,-0.366750160127219,0.128510550751193,-2.85385252793196,0.00431925764278896,0.016753915955606
"Tmem30a",4757.78177022081,-0.400505501304773,0.104461541274434,-3.83399954106165,0.000126076376244403,0.000851324132348907
"Tmem33",2348.19152627924,-0.402722026909391,0.0859039823602825,-4.68804839827296,2.75822795613896e-06,3.17968827828849e-05
"Tmem35b",245.923489372694,-0.538751514755713,0.136922498790815,-3.93471868767746,8.32941979043157e-05,0.000601926727787904
"Tmem38b",853.33646153888,-0.260570166266245,0.0807099310264305,-3.22847712731801,0.00124451210678543,0.00589558512284941
"Tmem41a",265.493733217524,-0.48721461283127,0.116837508618631,-4.17001884575942,3.04574451464326e-05,0.000255550694189895
"Tmem41b",301.164652021668,-0.327526594441514,0.116465175826983,-2.81222770768901,0.0049199659900429,0.0186963250526515
"Tmem44",143.91962414163,1.01067376628135,0.157841130783262,6.40310774046055,1.52245675856269e-10,5.98154729342699e-09
"Tmem45b",644.124152324289,-0.820733748778888,0.15799451187377,-5.19469783504009,2.05052614713859e-07,3.37557614341954e-06
"Tmem5",422.112176985434,-0.330639213062553,0.104548557268372,-3.16254209241565,0.00156398123700551,0.00713983891391698
"Tmem50a",1037.94898541576,-0.256431577277988,0.0862257025527493,-2.97395752874398,0.00293985763061617,0.0121781420018126
"Tmem55a",647.624728716085,-0.265997550637954,0.101815034518196,-2.61255670045878,0.00898677839273401,0.0306542390962915
"Tmem59",6777.56616443478,-0.295066253879151,0.0632360520010992,-4.66610809090394,3.06958268524006e-06,3.48492897685668e-05
"Tmem60",222.489051631579,-0.427343823150457,0.139178260640423,-3.07047825705,0.00213716246462518,0.0093147917640084
"Tmem62",434.783750102518,-0.33540402893465,0.137492308669535,-2.43943848336127,0.0147101069759118,0.0458198261187247
"Tmem63a",331.839650968952,0.452122099994243,0.119816312022141,3.77346032742765,0.000160998831087932,0.00104328564801042
"Tmem63b",1552.39619805156,0.403414424196026,0.0796474852166787,5.06499888977723,4.08402730913516e-07,6.1008400692362e-06
"Tmem64",2873.21121732249,-0.612511042194282,0.122373606437718,-5.00525448276315,5.57882783070696e-07,7.99292112698851e-06
"Tmem69",414.401096597442,-0.297489254469555,0.117621548140096,-2.52920709830501,0.01143205489736,0.0374244503139038
"Tmem70",1208.17122712633,-0.529793952718818,0.0811810150906946,-6.52608189398639,6.75124167034489e-11,2.95582288237281e-09
"Tmem72",2414.30286337311,0.298879146881337,0.120240504519735,2.48567775122968,0.0129304994409968,0.0412682981383657
"Tmem8",5989.03626795916,-0.236170914076907,0.087127286946705,-2.71064235273813,0.00671530160402832,0.0242109713108879
"Tmem82",567.120671672511,0.37882470694057,0.106588424098353,3.55408863715834,0.000379291358184646,0.00217405791728261
