"","V1","V2","V3"
"276","Ss18","Arid1a",4.30018184275946
"277","Aldh2","Sirt3",4.2973587611566
"278","Ranbp9","Maea",4.29717950026975
"279","Atp5g1","Sdhb",4.29551186205003
"280","Ndufs1","Ndufv2",4.29517922646232
"281","Eno3","Pgk1",4.29470438300859
"282","Wdr92","Rpap3",4.29418483389691
"283","Pgk1","Tpi1",4.29284506916179
"284","Ss18","Smarce1",4.28753727738581
"285","Wiz","Ehmt1",4.28741159296465
"286","Nol9","Las1l",4.28647727390307
"287","Crls1","Pink1",4.28641969328874
"288","Psmb7","Psma1",4.28606714979378
"289","Ndufs1","Ndufa9",4.28508248091725
"290","Ss18","Smarcc2",4.28489408906512
"291","Eps15","Eps15l1",4.28392504077647
"292","Pcgf2","Phc2",4.28280760125358
"293","Cyp51","Msmo1",4.28275099184611
"294","Psmd3","Psmd11",4.2819316882601
"295","Mtor","Rptor",4.28184892451759
"296","Pmpca","Pmpcb",4.28043905747109
"297","Psmb6","Psmb7",4.27867753086252
"298","Atp5j2","Ndufb2",4.27815632199872
"299","Med27","Med6",4.27746751951918
"300","Polr2g","Polr2d",4.27710526937472
"301","Atp5j","Cox7a2",4.27503874473177
"302","Smarcd1","Arid1a",4.27405219836874
"303","Uri1","Rpap3",4.27254619619248
"304","Eno3","Pgam2",4.27170827324949
"305","Arid1b","Smarce1",4.2701382406708
"306","Ndufb7","Ndufa13",4.26994704899244
"307","Psma2","Psmb7",4.2697703163974
"308","Cdc73","Wdr61",4.26901033583272
"309","Ndufb11","Ndufs8",4.26786662624136
"310","Pdcd10","Stk26",4.2662157768882
"311","Sf3a1","Sf3a3",4.26506447674296
"312","Ndufb11","Atp5h",4.26458587955517
"313","Atn1","Rere",4.26283254535224
"314","Atp5f1","Atp5j2",4.26259824519275
"315","Rpl35a","Rplp2",4.26189177099832
"316","Bub3","Dynlt3",4.26180539568168
"317","Polr2b","Polr2d",4.26164972750644
"318","Srl","Ttn",4.26142346959568
"319","Smarce1","Arid1a",4.26123232922555
"320","Nav1","Trio",4.26122923085836
"321","Psmd3","Psmd1",4.26098201917603
"322","Smarcc1","Ss18",4.26061871932893
"323","Dctn1","Dctn2",4.26015177135218
"324","Ndufs8","Uqcr11",4.25875769869094
"325","Polr1a","Polr2f",4.25720431141986
"326","Eif3b","Eif3f",4.25679119013103
"327","Smarce1","Smarcd1",4.2554746858807
"328","Igtp","Iigp1",4.25447423061792
"329","Polr1d","Polr1a",4.25352614750568
"330","Igtp","Stat1",4.25279945711918
"331","Prickle1","Dvl1",4.25203818882665
"332","Polr1b","Polr2h",4.25183843071613
"333","Sec13","Nup37",4.25121094421252
"334","Atp5f1","Atp5k",4.25118966092987
"335","Sf3a2","Sf3a3",4.25036188453578
"336","Atp5j","Ndufa5",4.25024547060616
"337","Eif2s1","Eif2s2",4.24905217474429
"338","Sec13","Sec31a",4.24859657449383
"339","Smarce1","Smarcc2",4.2481786916876
"340","Ndufb11","Uqcr11",4.24778282393777
"341","Atp5k","Uqcrq",4.24751541374462
"342","Sf3a2","Sf3a1",4.24730650520519
"343","Psmd4","Psma1",4.24616694409679
"344","Polr2a","Polr2d",4.24600746415035
"345","Cd81","Igsf8",4.24587987441237
"346","Smarcc1","Smarce1",4.24526455452406
"347","Cops2","Cops4",4.24487205076821
"348","Nono","Sfpq",4.24283667570035
"349","Ube2l3","Arih2",4.24281468618551
"350","Ndufb11","Ndufc2",4.24091809135643
"351","Actl6a","Smarcd1",4.24074040676237
"352","Bmpr1a","Smad6",4.24069723034199
"353","Sympk","Cpsf1",4.23942578975425
"354","Cycs","Cox4i2",4.23625030705307
"355","Ndufb6","Uqcrb",4.23585701848901
"356","Atp6v1f","Atp6v1d",4.23552234889576
"357","Bnip3","Bnip3l",4.23524683424284
"358","Psmb6","Psma4",4.23487199527699
"359","Col5a2","Fstl1",4.23464185315356
"360","Cops3","Cops7a",4.23282603107441
"361","Cox6b1","Ndufb7",4.23278269190223
"362","Ube2h","Trim72",4.23257188639764
"363","Psmb7","Psma4",4.23251702000994
"364","Med6","Med15",4.23058076312918
"365","Tom1","Tollip",4.22917048403383
"366","Psmd11","Psmd1",4.22850261076246
"367","Ralb","Rgl3",4.22845327241657
"368","Ndufb5","Ndufv2",4.22834354204497
"369","Pnpla2","Plin5",4.22821846509191
"370","Chd4","Hdac2",4.22779290886683
"371","Atp5k","Cox6a1",4.22757797623285
"372","Snx2","Snx6",4.22695262719026
"373","Atp5j","Ndufa12",4.22661907424776
"374","Ndufs8","Atp5j2",4.22488301344856
"375","Aatk","Stk39",4.22450889847096
"376","Sept7","Sept6",4.22442421940309
"377","Psmc6","Psmd11",4.22350761020084
"378","Ndufa4","Uqcr11",4.22168124725977
"379","Ahrr","Arnt",4.22143000265237
"380","Atp5k","Usmg5",4.22062911980993
"381","Cops2","Cops3",4.2205784967723
"382","Igtp","Irgm2",4.21994180684146
"383","Suclg1","Ndufa9",4.21967083896152
"384","Safb2","Safb",4.2195817681868
"385","Rpl35a","Rpl15",4.21928145584229
"386","Mrpl39","Mrpl28",4.21880028421469
"387","Atp5f1","Ndufa9",4.21813670934944
"388","Ndufb5","Ndufa5",4.21708007613302
"389","Psmd4","Psmd1",4.21272024500013
"390","Eng","Lrg1",4.2103149037498
"391","Ndufb6","Uqcr11",4.21020296655638
"392","Hsp90ab1","Hsp90aa1",4.2097087519719
"393","Casc3","Stau1",4.20884622013
"394","Ndufb11","Atp5l",4.20786264354865
"395","Trip12","Sox6",4.20699419302559
"396","Psmb6","Psma1",4.20681223419729
"397","Sept8","Sept7",4.20560326790019
"398","Plxnb2","Arhgef11",4.20551110023189
"399","Sept10","Sept7",4.20472767950355
"400","Kat2a","Atxn7",4.20471138423022
"401","Atp5l","Ndufa5",4.20453391700903
"402","Psmc6","Psmd1",4.20393911662677
"403","Atp6v0d1","Atp6v0a1",4.20387252497585
"404","Eef1a2","Eef2",4.20304166496453
"405","Ndufs1","Ndufa10",4.20254928074814
"406","Psmd4","Psmc6",4.20182285097826
"407","Hspa8","Dnaja1",4.20166509918067
"408","Ehmt2","Ehmt1",4.20136452712177
"409","Cox6b1","Uqcrh",4.2002362634264
"410","Psmb6","Psmd3",4.20009356478567
"411","Ndufa12","Ndufc2",4.19950844263963
"412","Pcbp2","Pcbp1",4.19887693520627
"413","Smarcc1","Actl6a",4.19552918889349
"414","Hcfc1","Kmt2a",4.19419963653036
"415","Cyp51","Nsdhl",4.19381486677548
"416","Gmppb","Gmppa",4.19052114183478
"417","Des","Sync",4.19045431556833
"418","Atp5g1","Atp5j",4.18933155578839
"419","Klc1","Spag9",4.18907597461543
