"","Source","Target","Score"
"191","Irak1","Anxa1",3.45542035377889
"192","Ptpn11","Ptpru",3.45192381127845
"193","Stat1","Sumo1",3.43815841373203
"194","Nfatc1","Ep300",3.43562887751136
"195","Map3k1","Mapk8",3.43147597608595
"196","Actb","Rps4x",3.4300974999685
"197","Ctnnb1","Kifap3",3.42811920099643
"198","Ctnnb1","Mllt10",3.42811920099643
"199","Tirap","Pik3r1",3.42811920099643
"200","Irf4","Prrc2b",3.42345216803346
"201","Chuk","Irf7",3.41803835575934
"202","Ikbkb","Irf7",3.41803835575934
"203","Stat2","Stat3",3.41071734649518
"204","Pxn","Ablim1",3.41054171886344
"205","Gnai3","Gnas",3.40971865064057
"206","Notch1","Notch3",3.40869039512813
"207","Jun","Tpm1",3.40836682463214
"208","Crk","Plec",3.40597136202996
"209","Actr3b","Actr2",3.40541006717262
"210","Ptpn11","Ptpra",3.40109722316788
"211","Bcl2","Pxn",3.39958636519077
"212","Irak1","Prkce",3.3940587602915
"213","Irak1","Pin1",3.39268880722489
"214","Cdc42","Vamp2",3.38882663075037
"215","Chuk","Git1",3.38519110960056
"216","Bcl2","Ppp2ca",3.38219158814718
"217","Orai1","Trpc1",3.37786781779118
"218","Crk","Ywhaq",3.37628998759419
"219","Ptk2","Ptpn11",3.36645139163011
"220","Gnb1","Vamp2",3.36545806817435
"221","Irf9","Stat1",3.36191921617478
"222","Ctsk","Ctsl",3.36067881588929
"223","Actb","Prkce",3.36014197018949
"224","Hsp90ab1","Ahsa1",3.35466720868953
"225","Txn1","Rps27l",3.3542801289932
"226","Polr2h","Polr2g",3.35177286904309
"227","Rnf31","Vcp",3.34725682795352
"228","Gnai3","Gnao1",3.34662864757729
"229","Arhgef12","Akap13",3.34535491330871
"230","Nfkb1","Ncor1",3.33462746186092
"231","Crk","Pxn",3.33073023065822
"232","Cd3d","Ubc",3.3278446236975
"233","Crk","Pik3r2",3.32294373188347
"234","Ptpn11","Ptpn9",3.30960626055912
"235","Map2k7","Mapk8",3.30482048976592
"236","Stat1","Parp12",3.30453966275354
"237","Stat2","Parp12",3.3034577216888
"238","Bcl2","Myc",3.29873202392241
"239","Crk","Myc",3.29873202392241
"240","Hspa8","Hsp90ab1",3.29544637136496
"241","Rela","Nr0b2",3.28980557263117
"242","Ikbkb","Map3k1",3.28937708211129
"243","H2-D1","H2-Q7",3.28785703549147
"244","Ptpn11","Ptpn3",3.28774081908864
"245","Orai1","Stim1",3.28761145583758
"246","Pxn","Fblim1",3.28384830999062
"247","Hspa8","Mapt",3.28350223266807
"248","H2-D1","Tap2",3.28316683679463
"249","Chuk","Ikbkb",3.28315533459772
"250","Ctsk","Mmp2",3.27924606626584
"251","Lcn2","Lrg1",3.2747749432599
"252","Hspa8","Kdm2b",3.27208798160518
"253","Pik3r1","Irs2",3.26425629490154
"254","Gnai3","Gnb1",3.26202214076238
"255","Crk","Ywhag",3.25425244516032
"256","Mmp2","Serpinf1",3.24927962560878
"257","Hsp90ab1","Dnaja2",3.24694081295456
"258","Lcn2","Urm1",3.24434988118901
"259","Stat3","Arid1b",3.24149296054588
"260","Hspa8","Rpl27a",3.23583688621784
"261","Arhgap5","Arhgap17",3.23340549791237
"262","Gnb1","Prnp",3.22311848737968
"263","Pik3r1","Thrb",3.22168936299136
"264","Txn1","Uqcrb",3.21752408816815
"265","Cxcr4","Ackr3",3.2145229939365
"266","Nfkb1","Commd9",3.21299047676735
"267","Jun","Rela",3.21139755370223
"268","Gsk3a","Gskip",3.21039740825222
"269","Actb","Cap2",3.20963117474957
"270","Cebpb","Ep300",3.20468408342299
"271","Gnai3","Gnb4",3.20411632502487
"272","Polr1d","Cd3eap",3.20298959035222
"273","Kitl","Clec11a",3.20022141512027
"274","Irak1","Nr0b2",3.19545279692102
"275","Hspa8","Rpl35a",3.1951904540897
"276","Itpr1","Trpc1",3.19235471166166
"277","Itpr1","Vcp",3.19226999669468
"278","Cdk4","Hspa8",3.18983163677171
"279","Rxrb","Nr1h3",3.18271988074571
"280","Gbp3","Iigp1",3.18195089141022
"281","Rxrg","Nr1h3",3.17903751936842
"282","Ptpn11","Ptprr",3.17763669977717
"283","H2-D1","Tap1",3.16245426216642
"284","Arhgap5","Arhgap26",3.15065632137885
"285","Ctnnb1","Cops2",3.14766913873518
"286","Cd81","Cd82",3.14715360831792
"287","Hspa8","Nphp3",3.14504160046476
"288","Notch3","Notch4",3.14416585957724
"289","Rela","Commd7",3.14404007481335
"290","Crk","Dvl2",3.14376705377367
"291","Stat1","Zbp1",3.14246687058812
"292","Gnb4","Gnb5",3.14197714440229
"293","Jun","Tcf4",3.14145417331838
"294","Lyn","Cblb",3.14127962770704
"295","Cdc42","Cdc42bpa",3.14034596265765
"296","Rasgrp2","Rasgrp3",3.13892248163665
"297","Mmp2","Pcolce",3.13520588949154
"298","Ctnnb1","Bcl9l",3.13064486720054
"299","Hsp90ab1","Hspe1",3.1283346846858
"300","Crk","Cblb",3.12785934841418
"301","Gnai3","Gnb5",3.12270550285348
"302","Stat2","Zbp1",3.12077374290038
"303","Hspa8","Rps4x",3.1188045910144
"304","Ctnnb1","Csnk1e",3.11498374318444
"305","Ctnnb1","Pin1",3.11498374318444
"306","Nfkb1","Commd5",3.11455364736958
"307","Oas3","Irf7",3.11014139832173
"308","Pdpk1","Rps6kb2",3.10885653854211
"309","Foxo3","Foxp4",3.10721379794904
"310","Prkce","Map3k1",3.1063589132807
"311","Jun","Map3k1",3.10619624513606
"312","Ptpn11","Ptprz1",3.10438821767116
"313","Flt3l","Kitl",3.10159042481064
"314","C1qc","Lyz2",3.10067438372334
"315","Rela","Ep300",3.09871002834666
"316","Mtor","Rps6kb2",3.09595640825046
"317","Arhgap5","Arhgap10",3.09208319261325
"318","Cdc42","Cdc42bpb",3.09124749475086
"319","Nlrx1","Spns1",3.08779304118025
"320","Nfkb1","Commd8",3.08772654065729
"321","Arhgap5","Arhgap33",3.08521311097479
"322","Itga6","Lama5",3.084738484951
"323","Itpr1","Pln",3.08435986936365
"324","Ctnnb1","Crebbp",3.08044372651261
"325","Jak3","Stat5b",3.07875232062929
"326","Hsp90aa1","Ahsa1",3.07682821272283
"327","Calm2","Nphp1",3.07177022574001
"328","Calm1","Nphp1",3.07177022574001
"329","Calm3","Nphp1",3.07177022574001
"330","Arpc1b","Actr3b",3.06973575627399
"331","Mapk4","Fastkd5",3.06729151620175
"332","Actb","Actr2",3.06712138313969
"333","Irak1","Stat3",3.06409664921784
"334","Rap1a","Cdc42",3.06294266707664
"335","Mylk3","Tnnc1",3.06171272964457
"336","Jam2","Jam3",3.0569891302971
"337","Arhgef1","Akap13",3.05342490929138
"338","Ptpn11","Smarcc1",3.05053272702617
"339","Arhgap5","Arhgap44",3.04602996332278
"340","Rela","Commd5",3.04508086808437
"341","Stat1","Gbp3",3.04287125786527
"342","Nck1","Tnik",3.0384272392339
"343","Ctnnb1","Bcl9",3.03808158703737
"344","Nfkb1","Commd2",3.03571666059224
"345","Nfkb1","Commd10",3.03030255495605
"346","Polr3k","Polr2f",3.02966226951116
"347","Nck1","Mink1",3.02831920709582
"348","Stat2","Adar",3.02384004513601
"349","Gnai3","Slc7a6",3.02219215938112
"350","Rela","Commd8",3.01877552607607
"351","Arhgef1","Arhgef19",3.01767684839615
"352","Arhgap5","Arhgap21",3.01736690721873
"353","Tgfbr2","Smurf1",3.01258781799174
"354","Map3k1","Map3k4",3.01056833837788
"355","Gnb5","Mapk3",3.00705148980319
"356","Actr2","Myo1e",2.99878446463822
"357","Hspa8","Hsp90aa1",2.99680358697947
"358","Irf7","Zbp1",2.99565063334649
"359","Ikbkb","Nlrc5",2.99031603485969
"360","Stat2","Znfx1",2.97981423790748
"361","Gnb1","Gnb5",2.97920908406718
"362","Sos1","Strip2",2.97735144530725
"363","Actb","Mks1",2.97589239280319
"364","Nlrx1","Fastkd5",2.97469899628345
"365","Polr2h","Polr2d",2.97457599016116
"366","Notch1","Smarca4",2.97406342190493
"367","Stim1","Trpc1",2.97137293024321
"368","Nfkb1","Commd6",2.9648125753838
"369","Ptpn11","Ptprf",2.96223677009993
"370","Stat1","Xaf1",2.96019778960431
"371","Rela","Commd2",2.95973256306684
"372","Hsp90ab1","Vcp",2.95839333304684
"373","Myl12b","Myl9",2.95511878902744
"374","Rela","Commd10",2.95442007581596
"375","Jun","Smarca2",2.95398255245846
"376","Hsp90aa1","Pola1",2.93500265581656
"377","Ptpn11","Ipo7",2.9346632223303
"378","Calm1","Tbc1d4",2.93376616799446
"379","Calm2","Myo7a",2.93376616799446
"380","Calm1","Ubr4",2.93376616799446
"381","Calm1","Myo7a",2.93376616799446
"382","Calm1","Unc13a",2.93376616799446
"383","Calm3","Tbc1d4",2.93376616799446
"384","Calm3","Unc13a",2.93376616799446
"385","Calm3","Ubr4",2.93376616799446
"386","Calm3","Myo7a",2.93376616799446
"387","Calm2","Tbc1d4",2.93376616799446
"388","Calm2","Unc13a",2.93376616799446
"389","Calm2","Ubr4",2.93376616799446
"390","Rxra","Gemin5",2.93146294334747
"391","Ctnnb1","Rela",2.93097427278076
"392","Nck1","Robo2",2.93044400756821
"393","Cdk4","Rbl2",2.92205667099279
"394","Cd9","Itga7",2.91886466163487
"395","Hsp90aa1","Hspe1",2.91517426898258
"396","Bcl2","Mdm4",2.91500130856048
"397","Ctnnb1","Csnk1a1",2.91089729228702
"398","Ptk2","Ptk2b",2.90864327712825
"399","Irf9","Xaf1",2.90675473526107
"400","Nfkb1","Commd7",2.90553951173524
"401","Polr1d","Polr2i",2.90545347138777
"402","Chuk","Nlrc5",2.9047421202597
"403","Itga6","Lamb2",2.89652819659159
"404","Hsp90ab1","Mks1",2.89483693052853
"405","Gzmb","Mcpt4",2.89200366531463
"406","Hsp90aa1","Dnaja2",2.89001005716864
"407","Gsdmd","Kctd6",2.88943517012763
"408","Actb","Atn1",2.88758302989459
"409","Stat1","Irf7",2.88409127885529
"410","Rxrb","Gemin5",2.88386263583402
"411","Rela","Commd6",2.88384103894873
"412","Bcl2","Prnp",2.88337189059598
"413","Hsp90aa1","Nphp1",2.88275170678116
"414","Stat2","Irgm2",2.87897206351977
"415","Cd34","Cd93",2.87829333607874
"416","Bcl2","Bcl2l2",2.87800539927025
"417","Rnasel","Scmh1",2.87800539927025
"418","Serping1","Serpinf1",2.87738061335654
"419","Rxrg","Gemin5",2.8764301615322
"420","Pxn","Git2",2.87561497393199
"421","Ctnnb1","Ep300",2.87541109186327
"422","Actb","Pgk1",2.87534231960217
"423","Hsp90ab1","Pola1",2.87143514241279
"424","Actb","Ino80",2.86936055152682
"425","Stat2","Trafd1",2.86477607934785
"426","Stat1","Tap1",2.86423362615756
"427","Itpr2","Bank1",2.86140873430281
"428","Jun","Nfatc2",2.86070356394475
"429","Mapk3","Cic",2.85942440936014
"430","Hspa8","Mks1",2.85928651333961
"431","Rapgef3","Rasgef1a",2.85873567506383
"432","Txn1","Minos1",2.85744748027787
"433","Jag1","Mfng",2.856555827791
"434","Cfd","Hdhd2",2.85176175066294
"435","Ctnnb1","Tcf4",2.849400445333
"436","Itpr3","Trpm2",2.84703478970641
"437","Itga5","Ubc",2.84690663186643
"438","Ctsb","Psap",2.84135351358418
"439","Dock1","Tanc1",2.83709272667261
"440","Polr2h","Polr1e",2.83646987024645
"441","Jun","Stat5b",2.83545345803918
"442","Txn1","Atp5j2",2.83466422493757
"443","Nck1","Ptpn1",2.83453858920484
"444","Oas3","Hectd3",2.83304928732605
"445","Cdc42","Uros",2.83247197799051
"446","Hspa8","Hspe1",2.83247197799051
"447","Hsp90ab1","Sept7",2.8319633696774
"448","Pxn","Arhgap33",2.83115307961612
"449","Pxn","Prickle3",2.82963765286968
"450","Stat5b","Tyk2",2.82615877663193
"451","Pxn","Magt1",2.82408354206905
"452","Actb","Yeats4",2.82396626491504
"453","Calm1","Dennd4c",2.82040022393198
"454","Calm2","Dennd4c",2.82040022393198
"455","Calm3","Dennd4c",2.82040022393198
"456","Stat1","Nlrc5",2.81832966042589
"457","Stat1","Cd274",2.81722781270105
"458","Pin1","Pmpcb",2.81452082917144
"459","Mtor","Ppp6c",2.81423077918407
"460","Lyn","Pik3r1",2.81014464068539
"461","Pik3r1","Ncor1",2.81014464068539
"462","Actr3b","Arpc3",2.80948477265133
"463","Pxn","Arhgap44",2.80733108795084
"464","Hspa8","Uros",2.80645704471522
"465","Gnb1","Pth1r",2.80311417662688
"466","Actr3b","Arpc2",2.8029055752811
"467","Adar","Zbp1",2.80115196426368
"468","Actb","Rpl39",2.79910211993297
"469","Map2k3","Map3k5",2.79800195371513
"470","Rorc","Gemin5",2.79792742047289
"471","Gng12","Gng5",2.79697280249184
"472","Gng12","Gng11",2.79697280249184
"473","Gng5","Gng11",2.79697280249184
"474","Actb","Nphp1",2.79584062057415
"475","Crk","Pik3r1",2.79470481431804
"476","Serping1","Masp2",2.79459781957144
"477","Mmp2","Thbs2",2.78970496901388
"478","Ctnnb1","Jup",2.78821250164606
"479","Nck1","Sorbs1",2.78718621482449
"480","Casp8","Otud7b",2.78687884983378
"481","Zbp1","Plxdc2",2.78653970926325
"482","Plat","Serpini1",2.78653970926325
"483","Stat2","Tap1",2.78370557693484
"484","Gnai3","Mapk3",2.78341348156437
"485","Mapk3","Dusp6",2.77521127072941
"486","Maml1","Inpp5k",2.77476421131723
"487","Plcg1","Nom1",2.77172130860549
"488","Notch1","Nedd4l",2.77091862464704
"489","Sos1","Frs2",2.77060637971249
"490","Stat2","Nlrc5",2.77035649829304
"491","Gbp3","Zbp1",2.76731810464298
"492","Marcksl1","Rps6ka4",2.76677170040284
"493","Cdk4","Rgl2",2.76412753385011
"494","Actb","Uros",2.76386983621273
"495","Polr1d","Polr1e",2.75794985685002
"496","Vdac2","Stam2",2.75358325453044
