"","Source","Target","Score"
"462","Fcer1g","Itgb2",3.60193403685298
"463","Fyn","Lyn",3.6018592861069
"464","Hspa8","Grpel2",3.60166938310886
"465","Hspa1b","Grpel2",3.60047706453656
"466","Col3a1","Sparc",3.59645869176666
"467","Ctnnb1","Arhgap32",3.59445716831988
"468","Cblb","Psmd6",3.5943391899948
"469","Creb1","Smarca5",3.59254828064036
"470","Actn1","Hpgds",3.59254616312091
"471","Cd79a","Ptprc",3.59067041925096
"472","Lyn","Fyb",3.59064370559668
"473","Hspa1b","Il4ra",3.59035394488319
"474","Creb1","Mecp2",3.5902983282183
"475","Tap1","Tap2",3.58952624090375
"476","Birc2","Traf2",3.58930455328118
"477","Mapk8","Mapk8ip3",3.5886756306777
"478","Cdk4","Pcna",3.58714005664001
"479","Col3a1","Smad7",3.58635052089721
"480","Mapk14","Rcn2",3.58440290287831
"481","Irak1","S100a10",3.58058780773354
"482","Mdm2","Nbn",3.58058780773354
"483","Src","Clybl",3.58058780773354
"484","Itgb1","Wasl",3.58047505489913
"485","Nck1","Was",3.5773576915426
"486","Pxn","Zyx",3.57524162653385
"487","Traf2","Slmap",3.57483770324393
"488","Cdc42","Pafah1b1",3.57472405476551
"489","Calr","Nck1",3.57472405476551
"490","Calm3","Tcp1",3.57471836939976
"491","Calm1","Tcp1",3.57471836939976
"492","Calm2","Tcp1",3.57471836939976
"493","Notch1","Smarcd3",3.57282143020416
"494","Rapgef3","Rapgefl1",3.57210944926669
"495","Ctnnb1","Tcf7l2",3.5715822738016
"496","Mdm2","Ccar1",3.57071715539246
"497","Mmp9","Timp1",3.56900879872092
"498","Ptprc","Ptprg",3.5683667766541
"499","Cblb","Arhgef7",3.56577787477295
"500","Prkaca","Gsk3b",3.56466221503206
"501","Rhoa","Rock1",3.5645473783818
"502","Ctnnb1","Tcf7l1",3.56422349275226
"503","Notch2","Notch4",3.56401906521432
"504","Grb2","Ptpra",3.56265396643903
"505","Itgb2","Laptm5",3.55986328009044
"506","Actb","Pfn1",3.55954809593209
"507","Grb2","Sos1",3.55848831864932
"508","Rac2","Sash3",3.55563949336306
"509","Gbp2","Gbp8",3.55549830715313
"510","Mmp9","Srgn",3.55452626336319
"511","Sharpin","Aifm1",3.55266911454692
"512","Nfatc1","Cblb",3.55266911454692
"513","Col1a1","Smad7",3.55088064107258
"514","Ctnnb1","Lef1",3.55067160211274
"515","Shc1","Sos1",3.55059036888224
"516","Csf2ra","Csf2rb",3.54881859004945
"517","Rara","Rps12",3.54586496820366
"518","Gnaq","Rara",3.54586496820366
"519","Ddx3x","Rara",3.54586496820366
"520","Rara","G3bp1",3.54586496820366
"521","Fas","Pml",3.54559932121379
"522","Ptpn6","Ptprb",3.54274744866848
"523","Mapk14","Ccar1",3.54215075052389
"524","Col3a1","Smad2",3.54215075052389
"525","Mapk14","Copb1",3.54215075052389
"526","Fyn","Fyb",3.54194138054163
"527","Arhgef1","Arhgef11",3.54135578399041
"528","Ptprc","Ptpru",3.54123144193773
"529","Actb","Rps14",3.54086273394205
"530","Ptpn6","Ptpn2",3.54026279362097
"531","Hspa1b","Lox",3.53873713744883
"532","Hspa1b","Mllt3",3.53873713744883
"533","Cd40","Map2k7",3.5387013715997
"534","Gbp2","Ifi47",3.53801020529227
"535","Col3a1","Col5a1",3.53687751550228
"536","Col3a1","Pcolce",3.53653953403159
"537","Mcu","Micu1",3.53500835114414
"538","Ctss","Tyrobp",3.53433087484518
"539","Il2rb","Il2rg",3.53332414716465
"540","Ms4a1","Cd79b",3.53279983526932
"541","Col3a1","Smad3",3.53194549273803
"542","Lck","Fyb",3.53191542756053
"543","Ywhae","Vps9d1",3.5309694731136
"544","Ywhae","Lrch3",3.5309694731136
"545","Ywhae","Tbc1d22b",3.5309694731136
"546","Ywhae","Edc3",3.5309694731136
"547","Ywhae","Dclk2",3.5309694731136
"548","Ywhae","R3hdm2",3.5309694731136
"549","Ywhae","Nuak1",3.5309694731136
"550","Ywhae","Klc4",3.5309694731136
"551","Ywhae","Msantd4",3.5309694731136
"552","Btk","Lox",3.53029665875852
"553","Btk","Rpl7",3.53029665875852
"554","Ctss","Lyz1",3.52767902837013
"555","Traf3ip2","Traf3",3.52693857332974
"556","Ptprc","Arhgap30",3.52188797935287
"557","Marcks","Fbxo32",3.51953121800307
"558","Pxn","Ablim2",3.51827804447339
"559","Shc1","Iqgap1",3.51732844164439
"560","Calm1","Ywhaz",3.51632062814065
"561","Calm3","Ywhaz",3.51632062814065
"562","Calm2","Ywhaz",3.51632062814065
"563","Limk1","Ssh3",3.51579374185212
"564","Csf1","Src",3.51246103906215
"565","Mdm2","Foxo3",3.51246103906215
"566","Mdm2","Trp73",3.51246103906215
"567","Crk","Stam2",3.51239331504462
"568","Col3a1","Smad1",3.51239331504462
"569","Ptpn6","Ptprc",3.51103143149294
"570","Lyn","Src",3.50851298638736
"571","Plcg1","Ranbp2",3.50608186645695
"572","Cd48","Cd53",3.50476937558915
"573","Col1a1","Smad2",3.50453987960509
"574","Smad2","Zmym2",3.50453987960509
"575","Pik3r1","Tek",3.5031603148359
"576","Canx","Lipc",3.50301093877533
"577","Bcar1","Crk",3.50191993575095
"578","Lck","Was",3.50109211156791
"579","Bcar1","Stat2",3.49836429852598
"580","Ptpn6","Ptpre",3.49761257551177
"581","Col1a1","Smad3",3.49385133869691
"582","Myl12a","Myl12b",3.49258514596272
"583","Notch1","Notch4",3.4905784543098
"584","Ptprc","Ptprm",3.48202101406173
"585","Ptk2b","Src",3.47765706982
"586","Nck1","Cblb",3.47688953510919
"587","Ptpn6","Ptpn1",3.47612216649213
"588","Elmo1","Elmo3",3.47460817667593
"589","Shc1","Tuba4a",3.47338487396905
"590","Msn","Stip1",3.47315844174818
"591","Gnai3","Gnaq",3.47210683677031
"592","Bcar1","Fyn",3.47200084962583
"593","Jak3","Lepr",3.47003347881878
"594","H2-Eb1","H2-DMb2",3.46577932462719
"595","Msn","Tkt",3.46509521402822
"596","Casp3","Casp6",3.46154621975256
"597","Rac2","Arhgap30",3.45643301137261
"598","Irak1","Anxa1",3.45542035377889
"599","Cd22","Grb2",3.45486584738251
"600","Hspa1b","Ighmbp2",3.45400976028031
"601","Sharpin","Fyb",3.45129516965244
"602","Traf2","Ube2d3",3.44871894114817
"603","Ptpn6","Ptpra",3.44646606268952
"604","Stim1","Cracr2a",3.44383349771624
"605","Rara","Rps5",3.44361144403274
"606","Rara","Rps26",3.44361144403274
"607","Rara","Med25",3.44361144403274
"608","Rara","Rpl23",3.44361144403274
"609","Rara","Syncrip",3.44361144403274
"610","Il6ra","Il6st",3.4405439039183
"611","Cd34","Chst4",3.44011120599794
"612","Smad2","Pknox1",3.43943998683221
"613","Tyrobp","Cd52",3.43676770128491
"614","Nfatc1","Ep300",3.43562887751136
"615","Ncf1","Plek",3.43513512190498
"616","Actb","Rps4x",3.4300974999685
"617","Btk","Was",3.42966224193742
"618","Src","Arrb2",3.42848922725238
"619","Ctnnb1","Mllt10",3.42811920099643
"620","Calr","Lipc",3.42796371673967
"621","Smad3","Pknox1",3.42795018819061
