"","V1","V2","V3"
"513","Ndufb9","Atp5h",4.48787629259596
"514","Rpl31","Rps26",4.48783800283286
"515","Actr2","Arpc2",4.48774742097976
"516","Smarca4","Bcl7a",4.48727134545675
"517","Polr1b","Polr1e",4.48683154061746
"518","Lsm1","Lsm3",4.48656795556985
"519","Arpc3","Actr3",4.48608763390462
"520","Ndufa1","Ndufb9",4.48551461924444
"521","Arpc3","Arpc2",4.48549866388817
"522","Atp5j2","Ndufa12",4.48519151630603
"523","Polr1c","Polr3h",4.48443101958856
"524","Atp5c1","Ndufa8",4.48432114576099
"525","Fdft1","Hmgcs1",4.48388259877538
"526","Rpl27a","Eif5a",4.48360079131385
"527","Rps14","Rpl18a",4.48358270787708
"528","Psmd13","Psmd14",4.48253762517174
"529","Ndufb9","Uqcrc2",4.48231196245024
"530","Rpl37","Rpl34",4.48226940086579
"531","Cox7a2","Ndufc1",4.48206666630654
"532","Atp5c1","Ndufb8",4.4820380896565
"533","Snrpd2","Snrpe",4.48165909985687
"534","Gapdh","Pgk1",4.48109717872762
"535","Actr3","Arpc2",4.48106168023583
"536","Cyc1","Ndufb8",4.48049008129169
"537","Atp5l","Ndufa1",4.47949405717395
"538","Atp5j2","2010107E04Rik",4.47809990371729
"539","Eif5a","Rplp1",4.47762561273476
"540","Rpl27a","Rps26",4.47759873630844
"541","Atp5l","Atp5j2",4.47758487163696
"542","Ndufc1","Ndufv2",4.47720091133965
"543","Cct4","Cct7",4.47670964197459
"544","Atp5c1","Atp5k",4.47661099027118
"545","Arpc3","Actr2",4.47612454378213
"546","Ndufb11","Atp5e",4.47598604459131
"547","Rps26","Rplp1",4.47513240842613
"548","Cyc1","Sdhb",4.47472902909431
"549","Cct4","Cct8",4.47300998336391
"550","Psmc4","Psmd10",4.47219994424086
"551","Magoh","Rbm8a",4.47209302601141
"552","Arpc1a","Arpc5",4.47188021176112
"553","Atp5f1","Atp5l",4.47113235814209
"554","Polr2b","Polr2f",4.47095365965765
"555","Arpc3","Arpc5",4.47032313559703
"556","Ndufa3","Ndufb8",4.47029189345994
"557","Rpl13a","Rps3",4.46992714785029
"558","Rps14","Rps3a1",4.46992121384392
"559","Ndufb8","Atp5h",4.46968569372802
"560","Atp5j2","Ndufv2",4.46914507176666
"561","Ndufc1","Ndufv3",4.46851216409345
"562","Arpc5","Arpc2",4.46638349914519
"563","Rpl7","Rps5",4.46595369836587
"564","Cox6b1","2010107E04Rik",4.46566948330519
"565","Atp5j2","Ndufb7",4.4653645480239
"566","Orc2","Orc3",4.46443209123458
"567","Rps14","Rpl13a",4.46441009065416
"568","Atp5b","Atp5c1",4.46335115799252
"569","Rpl18","Rps8",4.46264607043986
"570","Cox6b1","Minos1",4.46246728162237
"571","Tmem176b","Tmem176a",4.46219752082516
"572","Rpl35a","Rps13",4.46176460403717
