CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
AC002056.1	0	0	1	3	3	1	1	0	0	1	1	2
AC002059.1	0	0	0	0	3	0	2	0	2	2	1	0
AC002064.1	0	1	1	0	1	0	0	0	0	1	0	0
AC002064.3	0	0	0	0	0	1	0	0	0	0	0	0
AC002066.1	0	0	0	3	4	2	0	0	0	1	2	0
AC002070.1	5	1	7	0	2	1	10	6	3	1	0	0
AC002075.2	5	1	0	4	6	1	0	0	1	0	2	4
AC002076.1	0	1	2	1	1	1	0	0	0	3	3	0
AC002091.1	0	4	0	0	0	0	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	2	0	3	0	0	0	0	0	0	0	1	1
AC002116.2	3	0	3	13	9	14	0	0	0	1	1	5
AC002128.1	0	0	0	1	2	2	0	1	1	0	3	2
AC002310.1	2	18	7	15	31	35	2	1	4	32	24	37
AC002310.2	0	0	0	4	2	4	0	1	0	0	1	1
AC002310.3	0	0	0	0	0	2	0	0	0	0	0	0
AC002310.6	3	4	0	11	21	11	0	0	0	2	2	5
AC002347.1	2	0	1	0	0	0	0	0	0	0	0	0
AC002347.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.1	0	0	0	2	5	2	0	0	0	1	3	6
AC002350.2	0	4	1	13	14	13	4	0	4	4	6	2
AC002366.1	0	0	0	0	0	0	0	0	0	1	1	0
AC002367.1	0	0	0	1	3	2	0	1	0	1	1	3
AC002368.1	0	0	0	0	1	0	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002381.1	0	0	0	0	0	0	0	0	1	1	1	1
AC002384.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.2	0	0	0	1	0	0	0	0	0	0	0	0
AC002401.1	0	0	0	0	0	0	0	2	0	0	0	0
AC002401.2	0	0	0	0	0	0	0	0	0	1	0	0
AC002401.3	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.4	0	2	1	2	0	1	4	3	2	0	0	3
AC002407.1	0	0	0	3	4	0	0	0	0	2	2	2
AC002428.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.2	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	0	1	0	5	1	7	1	2	0	0	2	1
AC002454.1	9	6	11	22	27	40	9	5	11	27	8	14
AC002456.1	9	9	8	29	28	22	4	1	0	18	8	10
AC002463.1	0	0	0	1	1	0	0	0	0	0	0	0
AC002465.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.1	14	5	8	50	77	72	19	15	15	31	45	52
AC002470.1	1	2	9	35	38	22	0	0	0	8	6	11
AC002472.1	0	0	0	1	1	0	0	0	1	0	0	0
AC002472.2	1	0	0	1	2	1	1	0	0	0	0	1
AC002472.3	0	0	0	0	0	0	0	0	0	0	2	0
AC002480.1	0	0	0	0	0	0	1	0	0	0	0	0
AC002480.2	4	8	11	31	18	22	1	1	1	9	18	10
AC002480.3	0	0	4	3	5	0	0	0	0	1	0	1
AC002480.4	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.1	0	0	0	0	0	0	0	0	0	0	1	0
AC002486.2	0	0	0	0	0	0	0	0	1	0	1	0
AC002504.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.1	0	0	0	0	0	1	0	0	0	0	2	0
AC002519.1	1	6	1	0	2	0	0	0	0	1	0	1
AC002519.2	0	0	1	0	1	0	0	0	1	0	0	3
AC002524.1	0	2	1	2	5	0	0	0	2	1	1	2
AC002540.1	0	0	0	0	0	0	0	0	0	0	0	1
AC002545.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002546.1	16	28	18	103	97	109	6	0	5	42	52	74
AC002550.1	0	0	0	0	0	0	0	0	0	0	0	0
AC002550.2	0	2	4	3	1	4	1	1	0	1	5	4
AC002551.1	0	0	0	0	0	0	0	0	0	2	0	0
AC002553.1	0	0	0	3	0	0	0	0	1	0	1	0
AC002553.2	0	0	0	0	0	0	0	1	0	0	0	0
AC002553.4	4	2	1	0	0	0	2	0	0	0	0	2
AC002558.1	1	6	4	0	3	2	5	3	6	0	1	1
AC002558.3	0	1	3	0	0	4	0	1	0	0	0	0
AC002985.2	3	3	0	4	8	5	0	1	2	3	2	6
AC003002.1	32	34	37	209	199	136	21	32	25	90	107	101
AC003002.3	0	1	5	1	0	1	0	0	0	3	0	0
AC003002.4	0	1	1	4	2	0	2	1	2	0	0	1
AC003005.2	4	3	1	0	0	1	0	0	1	1	0	0
AC003029.1	0	0	0	0	0	0	0	0	1	0	0	0
AC003035.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003043.1	0	0	2	0	0	0	1	0	0	0	0	0
AC003070.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003070.2	0	1	0	0	0	1	0	0	2	0	0	0
AC003071.1	1	0	0	3	9	0	4	0	1	1	2	2
AC003072.1	0	5	2	4	6	5	0	0	0	4	5	10
AC003075.1	0	0	0	10	1	1	0	0	0	0	0	0
AC003080.1	0	0	0	0	0	0	0	0	0	0	1	3
AC003092.1	0	0	0	0	0	0	0	1	0	0	0	1
AC003092.2	0	0	0	0	0	0	0	0	0	0	0	1
AC003098.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.2	0	0	0	0	0	0	0	0	0	0	0	0
AC003102.1	4	7	1	29	41	34	2	1	1	22	16	25
AC003102.2	0	0	0	0	1	0	2	1	1	0	0	0
AC003659.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003666.1	0	0	3	0	0	0	0	2	1	0	0	0
AC003681.1	0	0	0	5	1	0	0	0	1	0	1	1
AC003682.1	0	0	0	2	1	2	0	0	0	0	4	0
AC003685.2	0	0	0	0	0	0	0	0	0	0	0	0
AC003956.1	0	0	0	0	0	0	2	5	4	0	0	0
AC003957.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	0	0	0	0	0	0	0	0	0	0
AC003965.1	0	0	2	1	2	8	0	0	0	1	0	2
AC003973.2	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.3	0	0	0	0	0	0	0	0	0	0	0	0
AC003975.1	0	0	0	0	0	0	0	0	0	0	0	0
AC003982.1	0	0	4	4	8	2	1	0	0	1	0	4
AC003986.1	1	0	0	0	0	0	0	0	0	0	0	0
AC003986.2	0	0	0	0	0	1	0	0	0	0	0	1
AC003986.3	0	0	0	6	3	10	0	1	1	1	2	2
AC003991.1	1	0	0	1	1	2	1	0	0	1	0	0
AC003991.2	0	0	0	0	0	0	0	1	0	0	0	0
AC004000.1	0	0	0	0	0	0	0	0	0	1	0	0
AC004012.1	0	0	0	0	0	0	0	0	1	0	0	0
AC004014.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004014.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004023.1	2	0	1	0	0	2	0	0	0	1	0	1
AC004024.1	0	0	0	1	4	0	0	0	0	1	0	1
AC004034.1	0	0	0	0	0	1	0	0	0	0	0	0
AC004066.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004067.1	0	0	0	1	0	0	0	0	0	0	0	0
AC004069.1	0	6	0	15	14	6	1	2	0	6	7	20
AC004069.2	0	0	0	0	0	0	0	0	1	0	0	0
AC004076.1	0	2	1	0	0	0	0	0	0	3	2	3
AC004076.2	3	0	1	12	13	7	4	8	2	4	8	9
AC004080.1	0	0	0	0	0	1	1	0	1	0	0	0
AC004080.2	0	0	0	0	0	0	0	4	0	0	0	1
AC004080.4	0	0	0	0	0	0	0	0	0	0	0	0
AC004112.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.1	0	0	0	0	0	2	0	0	0	3	0	1
AC004129.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004130.1	0	0	1	7	1	2	1	0	0	2	1	0
AC004148.2	2	0	0	8	15	3	0	1	1	4	3	5
AC004149.1	0	5	0	2	0	0	0	0	1	2	0	2
AC004156.1	0	1	0	10	0	1	15	0	13	2	0	0
AC004160.1	0	0	0	8	3	7	0	1	0	9	4	8
AC004160.2	0	0	0	0	0	1	0	0	0	0	1	1
AC004217.1	0	0	0	3	1	5	0	3	1	4	8	6
AC004221.1	0	2	1	9	13	14	0	1	2	5	10	10
AC004223.1	0	0	0	0	0	0	0	0	0	2	1	1
AC004223.2	0	0	0	0	0	1	0	0	0	1	0	0
