CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
HNRNPA3P10	0	0	0	5	3	9	0	2	2	4	3	2
HNRNPA3P11	0	0	0	0	0	0	0	0	0	0	1	0
HNRNPA3P12	4	0	1	3	3	2	0	1	0	0	2	1
HNRNPA3P13	0	0	0	0	0	0	0	0	1	1	0	0
HNRNPA3P14	0	0	0	0	0	0	0	0	0	0	1	0
HNRNPA3P15	0	0	1	0	0	0	0	2	0	1	0	0
HNRNPA3P16	0	0	0	0	0	0	0	0	0	0	1	0
HNRNPA3P2	0	1	0	0	0	0	2	2	1	1	0	1
HNRNPA3P3	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA3P4	0	0	0	0	1	0	0	0	0	0	1	0
HNRNPA3P5	0	1	0	0	3	0	1	0	2	0	0	0
HNRNPA3P6	1	0	1	9	4	5	0	4	1	7	6	2
HNRNPA3P7	0	0	0	1	1	6	1	0	1	0	1	0
HNRNPA3P8	0	0	0	1	1	1	0	0	0	0	0	0
HNRNPAB	685	828	736	4890	4710	4407	396	492	527	1858	1862	2105
HNRNPABP1	0	1	0	3	0	1	0	0	2	0	2	3
HNRNPC	1968	2121	2291	10484	9771	9214	1402	1669	1612	5565	5506	6834
HNRNPCL1	0	0	0	1	0	0	1	0	0	0	1	1
HNRNPCL2	0	0	0	0	1	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCP1	4	8	7	2	6	7	8	12	11	4	9	5
HNRNPCP10	0	0	0	0	0	1	0	1	0	0	0	0
HNRNPCP2	1	5	2	30	18	18	5	3	7	21	21	17
HNRNPCP3	0	3	0	1	2	0	3	0	0	1	2	0
HNRNPCP4	0	0	0	0	1	0	1	0	1	1	1	0
HNRNPCP6	2	2	4	13	6	6	2	3	3	4	4	7
HNRNPCP7	0	0	0	0	1	2	0	0	0	3	1	1
HNRNPCP8	0	0	0	1	0	0	0	0	0	0	0	1
HNRNPCP9	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPD	954	1143	1125	4608	5014	4329	946	1280	1092	1951	2189	2408
HNRNPDL	2303	2952	2909	7882	7792	6817	3586	4124	4384	3388	3534	4047
HNRNPDLP2	1	0	0	0	0	0	0	1	0	0	0	0
HNRNPDLP4	0	0	0	0	0	0	0	0	0	0	2	0
HNRNPDP1	0	3	0	0	3	2	0	0	2	1	1	0
HNRNPF	1182	1501	1379	6384	6092	5538	1141	1349	1349	2584	2430	2684
HNRNPFP1	0	0	0	0	0	0	0	0	0	0	1	1
HNRNPH1	968	1288	1297	5209	5211	4553	1775	2150	1901	2994	3258	3694
HNRNPH1P1	0	0	1	6	5	1	0	0	0	1	3	9
HNRNPH1P2	1	0	0	1	0	0	0	0	0	1	0	0
HNRNPH1P3	0	0	0	0	0	0	2	0	2	0	1	0
HNRNPH2	445	572	542	3803	3670	3350	357	438	426	1621	1727	1953
HNRNPH3	770	1048	1019	3774	3630	3248	1720	2119	2066	1903	1924	2272
HNRNPK	3182	3738	3651	15966	15630	13686	3825	4974	4707	8004	8264	8956
HNRNPKP1	2	0	0	8	10	9	4	3	3	6	14	7
HNRNPKP2	4	1	0	9	4	4	0	5	0	10	7	10
HNRNPKP3	0	0	0	2	0	1	1	0	1	0	1	1
HNRNPKP4	35	28	27	120	141	111	27	32	37	89	75	85
HNRNPKP5	0	0	0	1	0	1	0	0	0	0	1	1
HNRNPL	921	1121	1046	3139	3292	2538	896	1071	1025	1247	1279	1443
HNRNPLL	401	425	412	1115	1057	1017	285	358	331	656	632	669
HNRNPLP1	4	0	1	4	4	2	1	1	1	2	6	3
HNRNPLP2	6	4	6	17	24	29	5	7	6	14	13	19
HNRNPM	798	982	961	5565	5499	5628	524	703	762	1842	1907	2129
HNRNPMP1	0	0	0	0	0	0	0	0	0	1	0	0
HNRNPR	722	826	842	5579	5726	4843	449	401	398	2430	2580	2851
HNRNPRP1	0	1	1	7	8	1	0	0	0	0	1	0
HNRNPU	2081	2657	2411	11135	11837	10574	1266	1454	1373	6000	6007	6891
HNRNPUL1	1905	2256	2222	8312	8484	7644	1179	1311	1356	3798	3643	4146
HNRNPUL2	163	190	186	1003	1048	851	83	92	82	423	465	469
HNRNPUL2-BSCL2	1	1	0	1	3	4	0	0	1	1	0	0
HNRNPUP1	3	0	1	9	5	0	1	1	1	2	8	4
HOGA1	8	6	15	25	29	19	14	17	21	27	30	19
HOMER1	228	293	246	809	745	583	267	285	264	348	401	414
HOMER2	110	127	126	485	526	418	57	65	37	245	245	266
HOMER3	67	80	70	312	258	290	43	59	66	143	125	123
HOMEZ	82	94	70	289	271	282	62	77	77	199	176	205
HOOK1	278	344	311	574	577	475	134	167	156	419	437	484
HOOK2	107	123	138	295	314	350	74	113	116	181	193	193
HOOK3	189	282	240	660	603	492	224	255	211	314	361	395
HOPX	29	21	16	43	57	58	14	16	20	29	43	40
HORMAD1	0	0	0	0	0	0	0	0	0	1	1	0
HORMAD2	0	0	0	0	0	0	1	2	3	0	0	0
HORMAD2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
HOTAIR	0	0	0	0	0	0	0	0	0	0	0	0
HOTAIRM1	1	1	10	4	3	7	2	3	3	0	2	2
HOTTIP	0	0	0	0	0	1	0	3	0	2	2	0
HOXA-AS2	2	1	0	3	3	0	4	1	7	2	4	0
HOXA-AS3	0	0	0	0	0	0	0	0	0	0	0	0
HOXA1	5	6	5	7	14	14	3	7	11	8	6	16
HOXA10	0	0	0	0	0	0	3	2	0	0	0	0
HOXA10-AS	0	0	0	0	1	0	0	0	0	0	0	0
HOXA11	0	0	0	0	0	2	1	0	2	1	0	0
HOXA11-AS	0	0	0	0	0	0	0	0	1	1	0	0
HOXA13	2	3	0	10	13	8	13	16	16	2	2	1
HOXA2	0	0	0	0	2	2	2	0	2	0	0	2
HOXA3	0	3	0	4	0	2	0	1	7	1	1	0
HOXA4	0	0	0	0	0	1	0	0	0	0	0	0
HOXA5	1	0	0	1	0	0	0	0	0	0	0	0
HOXA6	0	0	0	0	0	0	0	0	0	0	0	0
HOXA7	0	0	2	0	0	0	0	0	0	0	0	0
HOXA9	0	2	0	0	0	1	0	0	0	0	0	0
HOXB-AS1	36	38	35	122	117	118	6	13	18	53	78	71
HOXB-AS2	0	0	0	3	1	2	0	0	0	0	2	0
HOXB-AS3	12	6	10	18	17	23	15	10	6	13	4	12
HOXB1	3	3	3	5	12	11	14	21	18	2	5	4
HOXB13	0	1	0	1	1	0	0	0	0	0	3	0
HOXB2	86	93	109	256	187	190	116	177	138	103	98	107
HOXB3	143	170	141	199	188	206	125	156	142	175	130	157
HOXB4	29	34	24	126	99	78	49	66	59	70	76	71
HOXB5	10	7	6	32	36	25	14	15	25	7	3	10
HOXB6	21	27	15	34	42	38	29	12	19	14	14	23
HOXB7	13	10	13	21	26	17	14	14	8	10	7	9
HOXB8	7	7	1	15	13	8	6	6	8	5	2	10
HOXB9	2	1	9	9	11	8	23	22	15	2	2	6
HOXC-AS1	0	0	0	0	0	0	0	0	0	0	0	0
HOXC-AS2	0	1	0	0	0	0	0	0	0	0	0	0
HOXC-AS3	0	0	0	0	0	0	0	0	0	0	0	0
HOXC10	0	0	0	1	0	0	0	0	0	0	1	0
HOXC11	0	0	0	0	0	0	0	0	0	0	0	0
HOXC13	0	0	1	0	0	0	4	4	5	0	0	0
HOXC4	0	1	0	0	4	0	2	1	2	0	0	0
HOXC5	0	0	0	0	0	0	0	0	0	0	0	0
HOXC6	1	0	0	5	3	4	2	9	3	0	5	0
HOXC8	0	3	0	3	4	3	8	11	10	3	1	6
HOXC9	0	0	0	1	0	0	0	0	1	0	0	0
HOXD-AS2	0	0	0	0	0	0	0	0	0	0	2	0
HOXD1	0	0	0	0	0	0	5	2	3	0	0	0
HOXD10	0	0	0	0	1	0	0	0	0	0	0	0
HOXD13	0	1	0	0	0	0	0	2	0	0	0	0
HOXD3	0	0	0	0	0	0	0	0	0	0	0	0
HOXD4	0	0	0	0	0	0	0	0	0	0	0	0
HOXD8	0	0	0	1	0	0	0	0	0	0	0	0
HOXD9	0	0	0	0	1	0	0	0	0	0	0	0
HP	4	11	15	12	14	15	15	14	17	16	24	12
HP1BP3	416	514	497	2487	2678	1924	325	387	398	1156	1207	1247
HPCA	0	0	0	0	0	1	1	0	1	0	0	0
HPCAL1	18	23	28	90	101	100	27	39	50	55	41	34
HPCAL4	0	0	2	3	2	5	4	7	2	0	1	1
HPD	3	3	3	11	10	3	9	12	19	7	20	11
HPDL	25	20	28	92	93	126	3	2	4	43	33	29
HPF1	142	167	140	839	781	659	51	58	61	399	410	506
HPGD	3	12	0	14	11	9	1	2	3	4	5	7
HPGDS	0	0	0	0	1	0	0	1	0	1	0	0
HPN	47	79	66	179	170	182	199	197	211	178	177	196
HPN-AS1	0	0	0	0	0	0	1	0	0	0	0	0
HPR	0	1	5	16	22	5	2	3	2	10	13	4
HPRT1	57	107	93	395	368	337	29	32	37	282	179	240
HPS1	124	170	173	928	973	962	65	82	67	537	530	581
HPS3	40	68	51	373	397	325	116	127	97	197	207	264
HPS4	161	210	200	566	570	448	81	97	89	216	271	263
HPS5	238	320	344	773	717	625	349	403	375	346	410	449
HPS6	110	141	157	623	500	568	39	25	28	208	186	251
HPSE	1	2	11	6	4	9	2	3	2	3	1	2
HPSE2	9	5	12	84	83	95	0	3	2	39	60	38
HPX	37	28	55	72	43	55	94	80	82	91	103	60
HR	2	0	0	1	0	0	3	2	4	2	1	0
HRAS	161	192	169	642	588	641	132	152	131	209	238	278
HRASLS	97	68	79	483	368	410	31	50	39	264	208	268
HRASLS2	0	0	5	1	0	0	2	5	7	0	0	2
HRASLS5	0	2	8	10	5	2	1	2	3	2	2	5
HRAT17	0	0	0	4	6	4	0	1	1	2	1	1
HRAT92	7	10	8	55	40	41	3	10	10	23	31	27
HRC	380	467	532	3397	3339	3542	137	233	194	1974	2013	2463
HRCT1	1	6	0	0	0	0	0	1	0	0	0	1
HRG	0	0	0	0	0	0	0	0	0	1	1	0
HRH1	4	0	4	2	2	2	12	14	19	0	0	1
HRH2	103	147	140	557	453	413	21	27	27	420	414	442
HRH3	1	9	9	0	0	2	1	5	3	0	0	0
HRH4	0	0	5	0	0	0	3	4	2	0	0	0
HRK	9	9	9	9	7	10	8	6	3	1	8	13
HRNR	0	0	0	0	0	0	0	0	0	0	0	0
HS1BP3	92	79	104	401	357	416	58	47	43	150	185	200
HS1BP3-IT1	0	2	0	6	0	0	5	4	4	3	0	2
HS2ST1	278	340	329	1376	1313	1059	245	302	267	657	661	751
HS3ST1	7	16	14	14	11	17	11	8	14	4	2	11
HS3ST2	0	0	0	0	0	0	3	4	9	0	0	0
HS3ST3A1	17	4	14	12	9	9	9	5	5	5	5	5
HS3ST3B1	34	45	33	71	91	80	83	96	118	58	72	86
HS3ST4	4	2	6	24	7	4	15	14	10	3	5	3
HS3ST5	35	31	41	10	21	20	19	19	37	11	10	10
HS6ST1	78	121	102	271	235	297	117	175	178	157	153	170
HS6ST1P1	0	0	0	0	0	1	0	0	0	1	0	0
HS6ST2	157	214	208	1513	1374	1281	115	174	122	692	661	715
HS6ST2-AS1	0	0	0	0	0	0	0	0	0	1	0	0
HS6ST3	2	0	0	11	15	5	0	2	3	4	0	2
hsa-mir-3130-1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548d-1	0	0	2	5	2	3	0	0	0	0	0	0
HSBP1	751	800	721	5783	5275	5150	410	395	432	2720	2674	3245
HSBP1L1	28	31	45	130	108	135	22	24	17	57	66	77
HSBP1P1	0	0	0	0	0	0	0	0	0	0	0	0
HSBP1P2	0	0	0	0	1	1	0	1	0	1	1	2
HSCB	66	80	89	324	280	285	26	36	26	130	97	170
HSD11B1	0	0	0	0	0	0	0	1	0	0	0	0
HSD11B1L	38	50	50	269	229	306	17	22	34	128	121	141
HSD11B2	6	7	4	12	11	6	9	5	7	7	12	17
HSD17B1	11	17	6	45	31	30	1	1	3	21	20	17
HSD17B10	555	602	714	3439	3088	3518	234	300	320	1532	1453	1764
HSD17B11	86	110	79	440	400	363	91	68	83	221	220	264
HSD17B12	267	370	337	1154	1162	1079	182	197	181	633	556	712
HSD17B13	0	0	1	2	1	0	4	4	2	0	0	0
HSD17B14	41	57	79	87	79	98	25	38	37	54	66	50
HSD17B1P1	1	2	0	2	0	0	0	1	0	5	3	0
HSD17B2	3	3	7	22	17	0	14	16	17	22	22	28
HSD17B3	1	10	10	3	5	5	2	4	7	4	2	3
HSD17B4	686	934	833	3882	4014	3439	420	394	389	2126	2109	2389
HSD17B6	1	1	5	12	17	13	6	3	6	4	5	7
HSD17B7	45	56	55	114	100	82	29	31	37	66	50	102
HSD17B7P1	0	0	0	0	0	0	0	0	0	0	1	0
HSD17B7P2	0	0	0	0	0	2	0	0	0	0	0	0
HSD17B8	27	30	23	160	196	201	14	29	7	115	95	124
HSD3B1	0	0	0	0	1	0	0	0	1	0	0	0
HSD3B2	2	9	7	4	5	17	0	0	0	10	5	7
HSD3B7	28	20	20	107	58	117	27	13	14	32	59	42
HSD3BP2	0	0	0	0	0	0	0	0	0	0	1	0
HSD3BP4	0	0	2	0	0	0	0	0	0	2	0	0
HSD3BP5	0	0	0	1	3	0	0	0	0	0	0	1
HSD52	0	0	0	0	0	0	0	0	0	0	0	0
HSDL1	251	315	372	1742	1654	1505	154	258	228	945	869	1016
HSDL2	447	584	492	3433	3265	2874	265	314	312	1744	1834	2027
HSF1	276	317	373	1278	1141	1267	187	259	263	739	703	758
HSF2	280	340	367	1400	1371	1094	531	698	645	711	679	784
HSF2BP	1	2	3	18	9	14	0	1	0	7	5	6
HSF4	0	3	3	5	6	5	7	7	10	10	10	8
HSF5	1	0	1	1	0	0	2	1	0	0	0	0
HSFX1	0	0	0	3	0	5	1	6	5	1	1	1
HSFX2	0	0	0	0	0	0	0	0	0	0	0	0
HSFX4	0	0	0	0	0	0	0	0	0	0	0	0
HSFY2	0	0	0	0	0	0	0	0	0	0	0	0
HSFY3P	0	0	0	0	0	0	0	0	0	0	0	0
HSFY4P	0	0	0	0	0	0	0	0	0	0	0	0
HSH2D	0	0	0	0	0	0	2	0	0	2	0	0
HSP90AA1	6242	7341	7130	46490	43282	39849	5940	6750	6566	16957	17766	20024
HSP90AA2P	11	3	3	20	32	20	4	17	12	19	21	29
HSP90AA4P	14	4	6	44	48	36	5	10	11	21	21	21
HSP90AA5P	0	0	0	1	1	3	1	2	1	1	0	1
HSP90AB1	4723	5543	5349	31751	29370	28188	6488	7685	7522	19071	18519	22335
HSP90AB2P	1	7	1	20	17	19	6	10	5	26	15	23
HSP90AB6P	0	0	1	0	0	0	3	4	2	3	1	0
HSP90AB7P	0	0	0	0	0	1	0	0	1	1	3	0
HSP90B1	8348	11313	10794	17999	19190	15641	4271	4472	4344	11949	11835	14037
HSP90B2P	6	8	5	11	16	24	12	11	9	24	10	17
HSP90B3P	0	0	1	3	0	2	2	2	4	1	5	11
HSPA12A	81	104	95	318	321	229	25	29	33	186	165	215
HSPA12B	1	0	0	8	3	7	1	0	3	5	12	2
HSPA13	415	538	472	1101	1154	1024	685	887	707	581	533	600
HSPA14	274	337	346	654	636	568	108	125	100	240	268	339
HSPA1A	21	56	59	235	220	226	244	364	267	175	214	212
HSPA1B	38	64	81	132	128	97	406	573	463	128	124	143
HSPA1L	6	12	16	52	50	34	47	24	36	76	61	65
HSPA2	9	19	10	88	72	66	232	250	298	52	38	44
HSPA4	1791	2316	2191	5797	5610	4990	2075	2510	2559	2625	2573	2859
HSPA4L	227	298	252	515	492	393	50	68	66	234	233	283
HSPA5	7062	8977	8783	10061	10529	9748	3169	3377	3478	6870	6532	7634
HSPA6	10	17	17	3	2	5	144	281	230	4	4	1
HSPA7	0	1	0	0	0	0	3	3	1	0	0	0
HSPA8	2216	2613	2490	13404	12187	12281	3174	3609	3627	10598	10288	12217
HSPA8P1	9	14	14	80	66	73	20	26	24	59	78	89
HSPA8P11	0	1	1	0	0	0	31	42	34	0	0	1
HSPA8P14	0	0	1	0	0	3	1	0	0	0	1	0
HSPA8P15	1	0	4	2	1	19	1	1	0	1	6	4
HSPA8P16	0	0	0	0	0	0	7	7	1	3	2	5
HSPA8P18	0	0	0	0	0	0	0	0	1	0	0	0
HSPA8P20	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8P3	0	0	0	0	1	0	0	0	0	0	0	0
HSPA8P4	0	1	0	2	0	2	1	5	6	6	2	2
HSPA8P5	0	0	1	3	2	4	3	1	2	4	5	5
HSPA8P6	0	0	0	0	0	0	0	0	0	0	0	1
HSPA8P7	0	0	0	1	0	0	1	0	2	2	1	2
HSPA8P8	0	2	1	2	1	4	0	3	1	1	3	2
HSPA8P9	0	0	0	2	1	1	2	1	1	3	4	4
HSPA9	2162	2701	2566	9813	9275	8502	1234	1342	1381	4651	4550	5105
HSPA9P1	0	1	6	5	7	1	4	0	2	3	6	6
HSPB1	1085	1062	1153	7268	6035	9505	852	1214	1351	4995	4255	5014
HSPB11	60	83	139	518	538	472	56	53	61	252	175	279
HSPB1P1	0	0	0	1	1	2	1	4	0	4	2	2
HSPB1P2	0	0	0	1	2	3	2	0	1	3	3	2
HSPB2	3	7	6	42	43	32	3	5	6	12	17	14
HSPB3	361	337	318	2213	1889	1991	357	464	422	2498	2234	2704
HSPB6	7	5	12	30	30	39	9	7	9	7	16	16
HSPB7	4247	4952	4726	42967	41674	40566	1142	1698	1689	24055	23426	25808
HSPB8	534	703	670	2537	2135	2304	1477	2265	1889	1581	1591	1652
HSPB9	0	0	0	3	2	1	0	0	0	1	6	3
HSPBAP1	71	90	85	164	102	130	28	22	36	76	80	72
HSPBP1	172	176	231	1054	933	1192	63	84	94	540	500	559
HSPC324	0	0	0	0	0	0	0	0	4	0	0	0
HSPD1	1951	2341	2225	12910	12423	11418	1142	1211	1142	6851	6704	7750
HSPD1P1	6	2	4	16	30	21	1	6	5	15	12	23
HSPD1P10	5	16	6	1	0	0	10	12	20	0	0	0
HSPD1P11	7	9	3	8	18	7	13	8	3	7	10	14
HSPD1P12	0	0	0	0	0	0	3	4	3	2	1	3
HSPD1P15	0	0	0	0	0	0	0	0	0	1	0	1
HSPD1P16	0	0	0	0	0	0	0	0	0	2	0	0
HSPD1P18	0	0	0	0	0	0	0	0	0	0	0	0
HSPD1P4	4	1	0	13	6	22	3	0	3	12	11	17
HSPD1P5	0	0	0	5	3	2	0	2	2	1	3	0
HSPD1P6	0	0	0	1	1	1	2	1	1	2	1	2
HSPD1P7	0	0	0	1	0	2	1	2	1	0	1	1
HSPD1P8	0	0	0	0	0	0	0	1	2	1	0	3
HSPD1P9	0	0	0	0	0	0	0	0	0	1	0	1
HSPE1	167	162	172	1106	987	813	65	64	68	523	527	648
HSPE1P10	0	0	0	0	0	0	0	1	0	1	0	0
HSPE1P11	0	1	2	0	0	1	0	0	0	2	0	2
HSPE1P13	0	0	0	3	0	0	0	0	0	0	0	0
HSPE1P2	0	0	0	7	6	13	0	0	0	2	4	6
HSPE1P20	0	0	0	0	0	0	0	0	0	0	0	1
HSPE1P22	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P25	0	0	0	0	0	2	1	1	0	0	0	0
HSPE1P26	1	0	0	1	1	2	0	0	0	1	0	3
HSPE1P28	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P3	1	0	0	3	2	3	0	0	0	2	4	3
HSPE1P4	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P5	0	1	0	3	9	0	0	0	0	3	4	3
HSPE1P6	1	0	0	3	1	1	0	0	1	0	2	2
HSPE1P7	0	0	1	0	0	0	0	0	0	0	1	0
HSPE1P8	0	3	0	2	0	1	0	0	0	0	0	1
HSPE1P9	0	0	0	0	0	0	0	1	0	0	1	0
HSPG2	1733	2186	2179	6510	5843	6221	1405	1844	1662	4069	4426	4111
HSPH1	589	734	768	3127	2990	2685	1009	1234	1110	1935	1880	2207
HTATIP2	43	78	60	325	315	338	44	41	44	180	127	153
HTATSF1	368	520	477	3052	3088	2824	281	299	313	1339	1386	1678
HTD2	0	1	2	1	2	0	0	0	0	0	0	1
HTN1	0	0	0	0	0	0	0	0	0	0	0	0
HTN3	0	0	0	0	0	0	0	1	0	0	0	0
HTR1A	0	0	0	0	0	0	0	0	0	0	0	0
HTR1B	8	6	9	39	28	15	4	6	5	15	11	8
HTR1D	0	0	0	1	0	0	6	8	3	0	0	1
HTR1E	1	1	0	2	4	1	0	4	1	3	0	5
HTR1F	0	0	0	0	0	0	0	0	0	0	0	0
HTR2A	0	0	0	0	0	0	0	0	0	0	0	0
HTR2B	1	1	0	0	1	0	0	0	0	1	0	0
HTR2C	0	0	4	4	4	0	0	0	0	1	4	3
HTR3A	0	0	1	5	6	6	0	0	0	2	2	1
HTR3B	0	0	0	0	0	0	0	0	0	0	1	0
HTR3C	0	0	0	0	0	0	0	0	0	0	0	0
HTR3D	0	0	0	0	0	0	0	0	0	0	0	2
HTR4	7	9	9	56	54	45	0	2	0	43	41	36
HTR5BP	0	0	0	0	0	0	0	1	1	0	0	0
HTR6	0	0	0	0	0	0	0	0	0	0	0	1
HTR7	2	2	2	5	4	3	18	21	5	3	7	6
HTR7P1	18	22	13	105	95	80	26	22	35	31	22	33
HTRA1	621	741	792	3577	3668	3097	629	632	692	1822	1805	2128
HTRA2	204	208	227	1068	1143	1102	110	98	80	503	494	564
HTRA3	51	41	61	134	106	172	122	132	185	99	72	142
HTRA4	0	0	0	0	0	2	0	0	0	2	0	0
HTT	545	726	711	1910	1841	1533	309	431	373	651	775	810
HTT-AS	0	0	0	0	1	0	1	0	3	0	0	0
HTT-AS1_1	0	0	0	1	0	0	0	0	0	0	1	0
HTT-AS1_2	0	0	0	0	0	0	0	0	0	1	0	0
HULC	0	1	0	0	0	4	1	0	0	1	2	0
HUNK	106	121	122	549	574	474	137	155	146	224	248	218
HUNK-AS1	0	0	0	1	0	0	0	0	0	0	0	0
HUS1	112	129	140	548	555	400	41	76	62	229	257	274
HUS1B	0	1	0	0	0	0	2	4	3	1	0	1
HUWE1	2348	2990	2866	6752	6989	5879	1453	2097	1874	3006	3320	3388
HVCN1	7	5	9	33	42	36	10	4	7	20	16	31
HYAL1	4	11	19	27	29	31	9	10	17	25	31	17
HYAL2	305	344	373	1686	1612	1526	123	115	141	730	681	753
HYAL3	22	19	16	114	110	121	18	29	19	59	68	80
HYAL4	0	0	0	0	0	0	6	0	2	0	0	0
HYALP1	0	0	0	0	0	0	5	2	2	0	0	0
HYDIN	14	25	32	20	23	18	25	21	17	8	7	2
HYDIN2	0	0	1	0	0	0	0	0	0	0	0	1
HYI	66	66	66	287	245	239	79	60	64	133	142	168
HYI-AS1	0	1	3	0	0	0	0	0	0	0	0	0
HYKK	11	12	10	72	63	74	5	8	3	31	39	40
HYLS1	54	70	60	378	341	285	8	9	7	113	104	104
HYMAI	0	4	0	7	7	5	1	2	3	7	3	4
HYOU1	1091	1373	1402	3638	3546	3261	724	824	804	1740	1798	2122
HYPK	72	96	109	40	42	35	23	30	22	34	44	53
HYPM	0	0	1	0	0	0	0	0	0	0	0	0
IAH1	210	221	200	998	1040	992	105	135	109	580	553	637
IAPP	0	0	1	6	12	2	0	1	0	4	7	4
IARS	1185	1382	1302	6450	5674	5058	928	1036	1055	2766	3020	3238
IARS2	973	1259	1148	5878	5773	4807	734	850	874	3708	3389	3913
IARS2P1	0	0	0	0	0	0	0	0	0	0	0	0
IBA57	90	85	85	497	520	451	29	20	22	147	169	144
IBA57-AS1	0	0	4	2	3	3	1	0	0	1	6	5
IBSP	0	0	0	0	0	0	0	0	0	0	0	0
IBTK	588	718	704	1747	1639	1353	389	410	389	983	1013	1097
ICA1	84	95	91	460	395	364	36	22	33	179	176	195
ICA1L	35	50	44	155	150	118	21	19	17	53	65	55
ICAM1	50	39	63	71	52	52	284	237	221	40	46	60
ICAM2	18	26	30	29	25	28	4	3	1	4	0	0
ICAM3	21	25	38	148	127	120	38	41	31	67	66	72
ICAM4	35	22	39	179	134	187	9	13	22	81	104	101
ICAM5	10	20	24	16	32	40	6	31	18	24	36	39
ICE1	466	556	601	1605	1592	1407	277	378	291	762	870	918
ICE2	289	349	311	991	926	787	131	141	126	564	589	603
ICE2P1	0	0	0	0	0	0	0	0	0	0	0	1
ICE2P2	0	0	0	1	0	0	0	0	0	0	0	0
ICK	429	510	503	1107	1183	992	149	223	173	495	566	571
ICMT	476	529	530	2278	2257	1959	138	147	167	775	844	1010
ICOS	0	0	0	0	0	0	0	0	1	0	0	0
ICOSLG	0	1	1	3	0	1	1	4	6	3	0	0
ID1	384	416	481	673	566	741	655	833	922	247	261	295
ID2	1590	2018	1944	3007	2699	2636	2535	3521	3155	1256	1093	1360
ID2-AS1	17	23	32	79	91	72	26	19	28	38	64	60
ID3	513	560	580	1977	1769	2065	201	227	285	472	452	535
ID4	119	146	148	305	323	320	282	355	424	169	163	188
IDE	291	366	394	1404	1316	1044	140	189	182	644	649	677
IDH1	602	708	711	3443	3385	3040	399	403	383	1787	1646	1934
IDH1-AS1	3	5	5	33	21	31	2	5	4	16	10	13
IDH2	1757	1846	1941	11944	11592	11432	666	781	831	5255	5214	5638
IDH3A	435	538	517	1989	1911	1585	263	324	285	1456	1350	1451
IDH3B	397	435	455	3375	3138	3293	232	249	228	1477	1548	1798
IDH3G	170	181	163	1236	1209	1189	119	118	129	685	714	751
IDI1	540	656	688	1672	1611	1502	482	400	465	904	863	1065
IDI2	0	3	0	1	0	0	9	3	8	0	0	0
IDI2-AS1	6	14	11	2	0	0	31	20	46	0	0	0
IDNK	22	13	27	138	142	118	3	1	4	44	90	64
IDO1	0	0	0	0	0	0	0	0	0	0	0	0
IDO2	0	0	0	0	0	0	0	0	0	0	0	0
IDS	113	106	158	560	499	466	150	168	155	286	302	341
IDSP1	0	0	0	0	0	0	0	0	0	0	0	0
IDUA	16	30	26	71	77	87	19	26	24	79	62	94
IER2	1070	1312	1346	424	400	556	1372	2194	2287	363	378	351
IER3	290	286	350	467	412	540	725	1100	1065	489	405	387
IER3IP1	141	140	139	688	690	519	49	67	77	367	314	363
IER5	162	146	165	312	333	337	611	975	962	89	86	108
IER5L	132	148	120	103	91	176	380	807	851	59	52	57
IFFO1	116	171	132	397	283	322	61	88	66	183	201	223
IFFO2	82	105	91	167	158	124	106	152	125	75	76	72
IFI16	89	164	146	351	366	295	331	189	193	208	202	216
IFI27	33	44	50	51	46	51	60	8	15	28	10	44
IFI27L1	115	117	147	950	872	781	50	75	35	323	317	372
IFI27L2	247	177	225	1515	1393	1614	134	109	114	609	669	787
IFI30	0	0	0	0	0	0	2	10	5	0	0	1
IFI35	9	14	9	54	63	42	40	10	6	31	27	14
IFI44	2	3	5	9	0	3	13	0	0	0	0	1
IFI44L	0	3	4	7	3	0	60	0	1	1	1	0
IFI6	67	23	49	162	182	201	384	17	55	69	73	76
IFIH1	2	4	2	6	10	6	39	2	6	9	4	8
IFIT1	236	291	300	2449	2333	2134	471	47	102	1047	999	1249
IFIT1B	0	0	0	0	0	1	0	0	0	0	0	0
IFIT1P1	0	0	0	5	1	0	1	0	2	0	0	0
IFIT2	0	2	11	6	8	7	11	0	6	5	7	4
IFIT3	5	11	17	7	19	26	120	4	19	10	14	8
IFIT5	80	97	107	316	311	284	126	36	57	169	191	198
IFIT6P	0	0	0	0	0	1	0	0	0	0	0	0
IFITM1	33	34	26	88	121	117	268	99	114	73	70	93
IFITM10	39	43	41	3	2	0	28	60	39	1	3	0
IFITM2	226	261	264	1331	1167	1028	449	481	477	818	794	1034
